first_name,last_name,linkedin_url,title,company_name,company_linkedin,company_website,location,inmail_subject,personalization,initial_message,fu1,fu2
Stephen,Hau,https://linkedin.com/in/stevehau,CEO & Chairman,Newfire Global Partners,https://linkedin.com/company/newfire-global-partners,https://www.newfireglobal.com,"Cambridge, Massachusetts, United States",Newfire's Inc 5000 streak,Newfire hit the Inc 5000 for the third year running. Sustaining that kind of growth in bespoke software services is rare given how commoditized the space has become.,"Hi Stephen, noticed Newfire made the Inc 5000 again, third year in a row. That kind of sustained growth in custom software is uncommon, especially when most shops are getting squeezed on price. Is the AI/ML practice driving most of the new demand, or is it still the healthcare vertical leading?

Emal","Hi Stephen, following up on my last note. I have been watching how nearshore shops are repositioning around AI delivery. The firms that already had strong product engineering DNA like Newfire seem to be pulling ahead of the pure staff aug crowd. Are you seeing that shift show up in the kinds of deals closing right now?","Hi Stephen, last note from me. I run Path2Ascension. We get SaaS founders and services CEOs qualified meetings with the right buyers, and you only pay when they show up. No retainer. If hitting your 2026 pipeline target matters, worth 15 minutes? Happy to find a time that works."
Joon,Choi,https://linkedin.com/in/joon-choi1,Chief Revenue Officer,Xnurta,https://linkedin.com/company/xnurta,https://www.xnurta.com,"Seattle, Washington, United States",Xnurta's retail media play,Xnurta is going after the retail media optimization space with AI at a time when ad spend on Amazon and Walmart Connect is growing 20%+ YoY. Smart timing for a CRO to step in.,"Hi Joon, noticed you took the CRO seat at Xnurta right as retail media ad spend is exploding. Most brands are still managing campaigns manually across Amazon, Walmart, Instacart. The AI optimization angle feels well timed. How are you thinking about the GTM motion, direct to brands or through agencies?

Emal","Hi Joon, following up. One thing I keep hearing from retail media vendors is that the real bottleneck is not the tech, it is getting brands to trust AI with their ad budgets. Has that been your experience at Xnurta, or are buyers further along than people think?","Hi Joon, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS revenue leaders, and you only pay when the meeting actually happens. Could be worth a quick 15 min chat given Xnurta's growth phase."
Phil,Kenney,https://linkedin.com/in/phil-k-3b64391,Chief Executive Officer,Unimarket,https://linkedin.com/company/unimarket,https://www.unimarket.com,"Carlsbad, California, United States",Unimarket's procurement push,Unimarket has been quietly building a procurement platform that mid market companies can actually use without a six month implementation. That positioning is underrated.,"Hi Phil, been looking at Unimarket's approach to procurement. Most tools in the space are either built for enterprise with 6 month rollouts or too lightweight to handle real complexity. The mid market sweet spot you are targeting feels wide open. What vertical is pulling hardest right now?

Emal","Hi Phil, following up on my last note. Procurement software has one of the longest sales cycles in B2B because the buyer is literally the person who buys things for a living. How has Unimarket been navigating that? Any patterns you have found that shorten the cycle?","Hi Phil, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when the meeting actually happens. If pipeline is a priority for 2026, happy to walk you through how it works. 15 min?"
Marc,Zionts,https://linkedin.com/in/marczionts,Chief Executive Officer & Board Member,SundaySky,https://linkedin.com/company/sundaysky,https://www.sundaysky.com,United States,SundaySky's video personalization at scale,"SundaySky has been doing personalized video at scale before it was trendy. Now that every brand wants dynamic content, the timing for the platform feels better than ever.","Hi Marc, been following SundaySky for a while. Personalized video was a tough sell five years ago, but now every brand wants dynamic content at scale and you have already built the infrastructure. Are you seeing the biggest pull from CX teams or marketing orgs right now?

Emal","Hi Marc, following up. With generative AI making video creation cheaper by the day, how is SundaySky thinking about the moat? Is it the personalization engine itself, the enterprise integrations, or something else that keeps customers locked in?","Hi Marc, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when they show up. Given SundaySky's position, might be worth a 15 min conversation. Happy to find a time."
Matt,Tormollen,https://linkedin.com/in/matt-tormollen-84554,Chief Executive Officer,Ascend Analytics,https://linkedin.com/company/ascend-analytics,https://www.ascendanalytics.com,"Durham, North Carolina, United States",Your move to Ascend Analytics,Stepping into the CEO role at Ascend Analytics as the energy transition accelerates is solid timing. The demand for power market forecasting and battery optimization is only going up.,"Hi Matt, noticed your move to Ascend Analytics. With the energy transition accelerating and every utility needing better power market forecasting, the timing for this role feels right. What is the biggest challenge you are tackling first, scaling the sales org or expanding the product suite?

Emal","Hi Matt, following up. Energy software is one of those spaces where the buyer knows exactly what they need but procurement moves at a glacial pace. Has Ascend found ways to compress that cycle, or is it just the nature of selling to utilities?","Hi Matt, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when the meeting actually happens. If building pipeline at Ascend is on your radar, worth a quick 15 min chat."
Ray,Mina,https://linkedin.com/in/raymina,Chief Executive Officer,Freshpaint,https://linkedin.com/company/freshpaint,https://www.freshpaint.io,"San Francisco, California, United States",Freshpaint and healthcare data privacy,"Freshpaint carved out a real niche making healthcare marketing teams compliant without killing their analytics. With OCR enforcement picking up, that problem is only getting bigger.","Hi Ray, been following Freshpaint's approach to healthcare data privacy. Most solutions in this space force marketing teams to choose between compliance and analytics. You found a way to give them both. With OCR enforcement ramping up, how much of your growth is inbound right now vs outbound?

Emal","Hi Ray, following up. One question I keep coming back to. As privacy regulations expand beyond healthcare into other verticals, is Freshpaint planning to go horizontal, or is doubling down on healthcare the move? Both seem viable from the outside.","Hi Ray, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when the meeting actually happens. If pipeline matters for 2026, happy to walk you through the model. 15 min?"
Adam,Famularo,https://linkedin.com/in/adamfamularo,Chief Executive Officer,WorkFusion,https://linkedin.com/company/workfusion,https://www.workfusion.com,"Garden City, New York, United States",WorkFusion post acquisition,Leading WorkFusion through the UiPath acquisition is no small task. Integrating an AI powered compliance automation engine into a larger platform while keeping the product identity intact takes real focus.,"Hi Adam, noticed you are leading WorkFusion through the UiPath integration. Merging a specialized compliance automation engine into a broader platform without losing what made it valuable is a tough balancing act. How are you thinking about keeping the WorkFusion identity sharp through the transition?

Emal","Hi Adam, following up. Post acquisition integrations in enterprise software usually go one of two ways. The acquired product either gets absorbed and diluted, or it becomes the flagship for a new vertical. Which direction is WorkFusion heading inside UiPath?","Hi Adam, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when the meeting actually happens. If building pipeline for the next phase matters, worth a quick 15 min chat."
Todd,Chronert,https://linkedin.com/in/todd-chronert-41248,Chief Revenue Officer (CRO),WitnessAI,https://linkedin.com/company/witnessai,https://www.witnessai.com,"Austin, Texas, United States",WitnessAI and enterprise AI governance,"WitnessAI is tackling the AI governance problem at the infrastructure layer. As every enterprise rolls out copilots and agents, someone needs to sit in between and enforce guardrails. Smart positioning.","Hi Todd, been looking at WitnessAI's approach to AI governance. Most vendors are bolting on compliance after the fact. Building it into the infrastructure layer so it sits between the user and the AI model feels like the right architecture. How receptive are CISOs to this framing right now?

Emal","Hi Todd, following up. One thing I have been thinking about. AI governance is one of those categories where the buyer is not always obvious. Is it the CISO, the CIO, or the compliance team? Where are you finding the fastest path to a deal at WitnessAI?","Hi Todd, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given WitnessAI's growth phase, could be worth a 15 min look."
Zack,Sikora,https://linkedin.com/in/zack-sikora,Chief Revenue Officer,Endor Labs,https://linkedin.com/company/endor-labs,https://www.endorlabs.com,"Newport Beach, California, United States",Endor Labs and dependency management,"Endor Labs is going after software supply chain security with a dependency lifecycle approach. With every major breach tracing back to a compromised package, the timing could not be better.","Hi Zack, been following Endor Labs. Most AppSec tools stop at scanning. Going deeper into dependency lifecycle management and reachability analysis is a different play entirely. With supply chain attacks accelerating, how are you finding the sales conversation has changed over the last year?

Emal","Hi Zack, following up. AppSec is one of those markets where every CISO says they care but budget allocation tells a different story. Is Endor Labs displacing existing SCA tools, or are you landing as net new budget? That distinction says a lot about where the category is heading.","Hi Zack, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given Endor Labs' trajectory, could be worth a 15 min conversation."
Brent,Sapiro,https://linkedin.com/in/brent-sapiro,Chief Revenue Officer (CRO),Sift,https://linkedin.com/company/sift,https://www.sift.com,"Los Altos, California, United States",Sift's fraud prevention evolution,Sift has been in the digital fraud game for over a decade now. Staying relevant as fraud tactics shift from rule based attacks to AI generated schemes takes constant reinvention.,"Hi Brent, noticed you are leading revenue at Sift. The fraud prevention space has changed more in the last two years than the previous ten, especially with AI generated attacks scaling up. How is Sift adapting the GTM to sell against threats that did not exist 18 months ago?

Emal","Hi Brent, following up. One pattern I keep seeing in fraud prevention is that the biggest competitor is not another vendor, it is the internal team that built something homegrown five years ago. Is that still the main displacement challenge at Sift, or has the market moved past that?","Hi Brent, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. If pipeline is a priority, worth a quick 15 min chat."
Mark,Rudolph,https://linkedin.com/in/mark-rudolph-9437b,Chief Revenue Officer (CRO),VibeIQ,https://linkedin.com/company/vibeiq,https://www.vibeiq.com,"Boston, Massachusetts, United States",VibeIQ and product storytelling,VibeIQ is solving the gap between product data and how go to market teams actually talk about it. Most brands still use spreadsheets and slides for this. There is a real workflow to own here.,"Hi Mark, been looking at VibeIQ. The disconnect between product data and how sales and marketing teams actually present it is one of those problems everyone works around but nobody solves well. How are you positioning VibeIQ in conversations, is it replacing a specific tool or creating a new category?

Emal","Hi Mark, following up. Category creation is exciting but it also means educating every buyer from scratch. Has VibeIQ found a way to anchor the conversation in something the buyer already knows, or is the approach more about showing the problem they did not realize they had?","Hi Mark, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given where VibeIQ is in its growth, might be worth a 15 min look."
Ron,Mechling,https://linkedin.com/in/ronmechling,Chief Revenue Officer (CRO),L5.ai,https://linkedin.com/company/l5-ai,https://www.l5.ai,Atlanta Metropolitan Area,L5.ai and insurance automation,"L5.ai is applying AI to insurance workflows in a way that goes beyond chatbots. Automating the actual underwriting and claims process is where the real value sits, and most vendors have not cracked it.","Hi Ron, been looking at L5.ai's approach to insurance automation. Most AI vendors in insurance stop at customer service chatbots. Going after the underwriting and claims workflows directly is a much harder problem but also much more valuable. Where are you seeing the fastest adoption right now?

Emal","Hi Ron, following up. Insurance is one of those industries where the buying cycle can outlast the product roadmap. Has L5.ai found ways to compress the sales cycle, or is it more about finding the carriers that are already committed to automation and meeting them where they are?","Hi Ron, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. If pipeline matters, worth a quick 15 min conversation."
Nicolas,Severino,https://linkedin.com/in/nicoseverino,Chief Revenue Officer (CRO),ThreatMark,https://linkedin.com/company/threatmark,https://www.threatmark.com,Miami-Fort Lauderdale Area,ThreatMark and banking fraud,ThreatMark is going after banking fraud with behavioral intelligence rather than just transaction monitoring. That is a fundamentally different approach and it maps well to how fraud is actually evolving.,"Hi Nicolas, been looking at ThreatMark. Using behavioral intelligence to catch banking fraud is a much stronger signal than transaction rules alone, especially as attackers get better at mimicking legitimate patterns. How are you finding the conversation with banking CISOs right now?

Emal","Hi Nicolas, following up. Banking fraud prevention is a space where the incumbent vendors have deep relationships but aging tech. Is ThreatMark mostly displacing legacy solutions, or are you landing alongside them as a complementary layer? That distinction usually shapes the whole GTM motion.","Hi Nicolas, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given ThreatMark's positioning, could be worth a quick 15 min chat."
Greg,Armor,https://linkedin.com/in/greg-armor-324862,Chief Revenue Officer (CRO),Manifest,https://linkedin.com/company/manifest,https://www.manifest.com,"Pottstown, Pennsylvania, United States",Manifest and supply chain visibility,"Manifest is tackling last mile logistics visibility. With ecommerce returns and delivery expectations only getting more demanding, the companies that own the tracking experience have real leverage.","Hi Greg, been looking at Manifest's approach to logistics visibility. Last mile tracking is one of those problems where the bar keeps rising because Amazon set the expectation and everyone else has to match it. How is Manifest positioning against the carriers own tracking tools?

Emal","Hi Greg, following up. One pattern I notice in logistics tech is that the real buyer often is not the supply chain team but the CX team that is tired of answering where is my order calls. Is that how deals are starting at Manifest, or is the entry point more operational?","Hi Greg, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. If pipeline is a priority for 2026, worth a 15 min look."
Ryan,Milligan,https://linkedin.com/in/ryanemilligan,Chief Revenue Officer,QuotaPath,https://linkedin.com/company/quotapath,https://www.quotapath.com,"Philadelphia, Pennsylvania, United States",QuotaPath and sales comp,"QuotaPath is solving one of the most hated problems in sales, commission tracking. Every rep wants transparency and every finance team wants accuracy. Sitting in between both is a great wedge.","Hi Ryan, been looking at QuotaPath. Commission tracking is one of those problems where every sales rep has a spreadsheet they secretly maintain because they do not trust the official numbers. Fixing that trust gap is a strong wedge. How much of your growth is coming from reps pulling the tool into their orgs vs top down?

Emal","Hi Ryan, following up. Sales comp software is an interesting space because the pain is universal but the urgency varies. What usually triggers a company to finally move off spreadsheets and buy QuotaPath? Is it a specific headcount threshold, or something else?","Hi Ryan, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given QuotaPath's growth, could be worth a quick 15 min chat."
Nick,Wegner,https://linkedin.com/in/nickwegner,Chief Executive Officer,Pilotbase,https://linkedin.com/company/pilotbase,https://www.pilotbase.io,"Kansas City, Missouri, United States",Pilotbase and offshore hiring,"Pilotbase is making it easier for startups to hire offshore talent without the usual headaches around compliance and payroll. With remote work now the default, the timing is right.","Hi Nick, been looking at Pilotbase. The offshore hiring space is crowded but most platforms are still clunky on the compliance and payroll side. Making that seamless for startups feels like the right angle. What geographies are driving the most demand right now?

Emal","Hi Nick, following up. The offshore hiring space seems to be splitting into two camps. Platforms that compete on price and platforms that compete on quality of talent. Where does Pilotbase sit, and has that positioning changed as the market has matured?","Hi Nick, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when the meeting actually happens. If pipeline matters for 2026, worth a 15 min conversation."
Kenny,Scott,https://linkedin.com/in/kenny-g-scott,Founder & CEO,Paramify,https://linkedin.com/company/paramify,https://www.paramify.com,Salt Lake City Metropolitan Area,Paramify and FedRAMP automation,Paramify just got FedRAMP 20x Moderate Authorized. That is a massive credibility signal for a company selling FedRAMP compliance automation. The eat your own dog food angle is strong.,"Hi Kenny, saw Paramify just got FedRAMP 20x Moderate Authorized. Using your own product to get your own authorization is probably the strongest proof point you could put in front of a buyer. How much has that accelerated the sales conversation?

Emal","Hi Kenny, following up. FedRAMP compliance is one of those markets where the pain is extreme but the buyer often does not start looking for a solution until they have already committed to a government contract. How does Paramify handle that timing gap? Are you catching them early or meeting them in crisis mode?","Hi Kenny, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS founders, and you only pay when the meeting actually happens. Given Paramify's momentum, worth a quick 15 min chat."
Dan,Ushman,https://linkedin.com/in/danushman,Founder & CEO,TrendSpider,https://linkedin.com/company/trendspider,https://www.trendspider.com,"Chicago, Illinois, United States",TrendSpider and trading automation,"TrendSpider built a technical analysis platform that automates chart pattern recognition and strategy backtesting. In a space full of manual charting tools, the automation angle stands out.","Hi Dan, been following TrendSpider. Most charting platforms still require traders to manually draw trendlines and set alerts. Automating the pattern recognition and backtesting layer is a real differentiator. What is driving growth right now, retail traders or institutional users?

Emal","Hi Dan, following up. Fintech for traders is a tough market because users are extremely opinionated about their tools and switching costs are high once someone builds a workflow. How has TrendSpider handled that stickiness challenge when going after users locked into TradingView or other platforms?","Hi Dan, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS founders, and you only pay when the meeting actually happens. If pipeline is on your mind, worth a 15 min conversation."
Paul,Thind,https://linkedin.com/in/paulthind,Chief Revenue Officer,Aethir,https://linkedin.com/company/aethir,https://www.aethir.com,"Scottsdale, Arizona, United States",Aethir's GPU cloud infrastructure,Aethir is building decentralized GPU cloud infrastructure at a time when GPU access is the single biggest bottleneck for AI companies. The demand side of this equation is not slowing down.,"Hi Paul, been looking at Aethir. GPU access is the number one bottleneck for AI companies right now and building a decentralized cloud to solve it is a bold play. How are you approaching the enterprise sales conversation when the buyer is used to dealing with AWS or Azure?

Emal","Hi Paul, following up. Decentralized infrastructure is a tough sell to enterprise buyers who want SLAs and single throat to choke. How is Aethir bridging that trust gap? Is it about matching the reliability guarantees, or is the cost advantage large enough that buyers accept the tradeoff?","Hi Paul, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given Aethir's growth, could be worth a quick 15 min look."
Christopher,Picarde,https://linkedin.com/in/christopher-picarde-7084435b,Chief Revenue Officer (CRO),Summize,https://linkedin.com/company/summize,https://www.summize.com,Greater Boston,Summize and contract management,Summize is doing contract management differently by embedding it directly into Microsoft Teams and Slack where the actual work happens. That distribution strategy is underrated.,"Hi Christopher, been looking at Summize. Most CLM tools force legal teams into yet another platform. Embedding contract management directly into Teams and Slack where people already work is a much smarter distribution play. How receptive have legal teams been to that approach?

Emal","Hi Christopher, following up. The CLM space is competitive but most incumbents are still selling to legal ops as a standalone tool. Is the embedded approach giving Summize a different buyer, like IT or procurement, or are you still going through legal as the primary entry point?","Hi Christopher, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given Summize's positioning, might be worth a 15 min conversation."
Jon,Quayle,https://linkedin.com/in/jon-quayle-gecko-engage,Chief Revenue Officer (CRO),Gecko Engage,https://linkedin.com/company/gecko-engage,https://www.geckoform.com,"Edinburgh, Scotland, United Kingdom",Gecko Engage and student engagement,"Gecko Engage built an AI powered student engagement platform for higher education. With enrollment pressure increasing across universities, the tools that help institutions connect with prospective students have real leverage.","Hi Jon, been following Gecko Engage. Higher ed is under serious enrollment pressure right now and most institutions are still using outdated CRMs to manage student engagement. An AI powered platform purpose built for this feels well timed. What markets are pulling hardest, UK or international?

Emal","Hi Jon, following up. Selling into higher education is notoriously slow. Budget cycles, committee decisions, procurement processes. Has Gecko Engage found any patterns that compress the sales cycle, or is it more about building a pipeline deep enough to absorb the long close times?","Hi Jon, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given Gecko's trajectory, could be worth a 15 min chat."
Alex,Paquette,https://linkedin.com/in/alexpaquette,Chief Revenue Officer (CRO),ClearML,https://linkedin.com/company/clearml,https://www.clear.ml,"Atlanta, Georgia, United States",ClearML and MLOps,ClearML built an open source MLOps platform that has serious traction with data science teams. The community led growth motion into enterprise upsell is a playbook that works well in developer tools.,"Hi Alex, been looking at ClearML. The open source to enterprise pipeline in MLOps is a strong motion when the product has real community adoption. How are you thinking about the enterprise conversion right now, is it mostly about adding governance and security features on top, or is there a different expansion vector?

Emal","Hi Alex, following up. MLOps is one of those categories where the open source tools have fragmented the market. Everyone uses a different stack. How does ClearML handle that in the sales conversation, is the pitch about consolidation or about being the best at one layer of the stack?","Hi Alex, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Given ClearML's growth, could be worth a 15 min look."
Ed,Leavens,https://linkedin.com/in/ed-leavens,Co-Founder and CEO,DataStealth,https://linkedin.com/company/datastealth,https://www.datastealth.io,"Mississauga, Ontario, Canada",DataStealth and data security,DataStealth is tackling data security at the application layer without requiring code changes. That is a meaningful differentiator when most security tools demand months of integration work.,"Hi Ed, been looking at DataStealth. Most data security tools require significant code changes and months of integration. Doing it at the application layer with no code modifications is a strong value prop, especially for mid market companies that do not have large security engineering teams. What vertical is leading adoption?

Emal","Hi Ed, following up. Data security is a space where the gap between what compliance requires and what companies actually implement is massive. Is DataStealth finding that compliance pressure is the primary trigger for conversations, or are actual breach concerns driving more urgency?","Hi Ed, last note from me. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS founders, and you only pay when the meeting actually happens. If pipeline is a priority, worth a quick 15 min chat."
