first_name,last_name,linkedin_url,title,company_name,company_linkedin,company_website,location,personalization,initial_message,fu1,fu2
Alexander,Thomson,https://linkedin.com/in/alexander-thomson-ba81b569,Chief Executive Officer,Cognidox,https://linkedin.com/company/cognidox,https://www.cognidox.com,United Kingdom,Saw you just stepped into the CEO role at Cognidox after the Recur Software acquisition. Interesting moment to take over an eQMS platform given how tight life sciences compliance keeps getting.,"Alexander, noticed you just took over as CEO at Cognidox following the Recur Software deal. Tough moment to step in with regulatory pressure building across med devices. Would like to connect and follow the journey.","Appreciate the connect, Alexander. Quick one for you. Is the next phase for Cognidox going deeper into med devices, or pushing sideways into adjacent regulated spaces? Asking because most of my week is spent talking to founders wrestling with exactly that call.","Alexander, I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs, and you only pay when the meeting actually happens. Given where Cognidox is in its new growth phase, happy to walk you through how it works. 15 minutes this week or next?"
Cristian,Gherhes,https://linkedin.com/in/cgherhes,Founder & CEO,Lexverify,https://linkedin.com/company/lexverify,https://www.lexverify.com,United Kingdom,"Lexverify's angle of catching compliance risk inside the email itself before it's sent, rather than auditing after the fact, is one of the smarter uses of real time AI in legal tech.","Cristian, been following Lexverify. Most legal tech is still reactive, so catching risk inside the message before it goes out is a pretty different posture. Would like to connect.","Thanks for connecting, Cristian. One thing I've been wondering about. Is the hardest part of selling Lexverify getting legal teams to trust AI with email, or getting comms teams to accept a compliance layer in their flow? Where does the friction actually live?","Cristian, quick intro. I run Path2Ascension. We book qualified meetings with the right buyers for founders scaling post seed, and you only pay when the meeting actually happens. Given where Lexverify is post raise, happy to walk you through the model. Worth a 15 min chat?"
Gloria,Lin,https://linkedin.com/in/glo,Co-Founder & President,Siteline,https://linkedin.com/company/siteline,https://www.siteline.com,San Francisco Bay Area,"The State of Subcontractor Billing report is one of the better pieces of primary research in construction tech. 96 days to get paid is a damning number, and it frames Siteline's whole wedge cleanly.","Gloria, read the State of Subcontractor Billing report. 96 days to pay is rough, and positioning Siteline as the fix is one of the clearer wedges I've seen in construction tech. Would like to connect.","Gloria, thanks for connecting. Curious about the CEO to President handoff internally. Is it freeing you up to go deeper on product and vertical expansion, or more on the strategic and partnerships side? Interesting inflection point either way.","Gloria, quick intro. I run Path2Ascension. We book qualified meetings with the right buyers for B2B SaaS founders, and you only pay when the meeting actually happens. Given Siteline's growth curve, might be worth a 15 min look. No pressure either way."
Daniel,Demetri,https://linkedin.com/in/danieldemetri,Founder & CEO,Trellis (now Gen),https://linkedin.com/company/trellis-technologies,https://www.trelliscrossing.com,Greater Boston,"Third time fintech founder, and Trellis just merged into Gen. That's a clean outcome for an insurtech that set out to fix distribution with ML and real time bidding.","Daniel, saw Trellis merged into Gen. Clean outcome for a team solving a hard distribution problem with ML. Would like to connect and follow what you do next.","Daniel, thanks for the connect. Post merger, I always want to ask founders what they miss most. The speed of being small, or the clarity of a single product focus? You've done this a few times now, would value your read.","Daniel, I run Path2Ascension. We book qualified meetings with the right buyers for founders going zero to one again, and you only pay when the meeting actually happens. If the next thing is already brewing, happy to walk you through the model. 15 min?"
Matt,Kessler,https://linkedin.com/in/matt-kessler-4076484,Chief Revenue Officer,Clozd,https://linkedin.com/company/clozd,https://www.clozd.com,San Diego Metropolitan Area,"Stepping into the Clozd CRO seat after leading revenue at Snappy and Glassdoor is a solid combo. You've seen both the ICP side and the data side of win loss, which is basically the thesis.","Matt, saw you took the CRO seat at Clozd. Interesting path. Snappy, Glassdoor, now a company whose whole product is about understanding why deals are won and lost. Would like to connect.","Matt, thanks for connecting. Now that you're on the buy side of the win loss conversation, has it changed how you run your own team's pipeline reviews? Feels like it'd be hard not to.","Matt, I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually shows. Given Clozd's GTM expansion, could be worth a quick look. 15 min?"
Joseph,Kim,https://linkedin.com/in/josephkimprofile,Chief Executive Officer,DRUID AI,https://linkedin.com/company/druidai,https://www.druidai.com,"Austin, Texas, United States",Coming in as CEO right as DRUID closes a $31M Series C and lands Challenger in the Gartner MQ for Conversational AI. That's about as clean a setup for a scale phase as you get.,"Joseph, following your move to DRUID AI. Stepping in right as the $31M Series C closed and the Gartner Challenger spot landed is a pretty enviable setup. Would like to connect.","Joseph, appreciate the connect. With 2.7x ARR growth the year before you stepped in, where are you putting the chips first? Deepening existing verticals, or pushing into new ones? Agentic AI is moving too fast to do both well.","Joseph, I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs going from Series C into global scale, and you only pay when the meeting shows. Given where DRUID is, might be a quick conversation worth having. 15 min?"
David,Clarke,https://linkedin.com/in/david-clarke-3477a21,Chief Executive Officer,Squirro,https://linkedin.com/company/squirro,https://www.squirro.com,United Kingdom,Going from founding Synaptica to Chief Innovation Officer and now CEO at Squirro is a rare arc. Pulling knowledge graphs into the core of a GenAI platform is one of the better answers I've seen to the hallucination problem.,"David, watched the arc from Synaptica to Chief Innovation Officer to CEO at Squirro. Knowledge graphs as the grounding layer for enterprise AI is one of the more defensible plays in the space. Would like to connect.","David, thanks for connecting. 60% YoY growth and a new CEO seat at the same time is a lot. Where is the hardest ICP pull right now? Financial services still leading, or is the knowledge graph angle finally opening up pharma and legal?","David, I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs in a scale phase, and you only pay when meetings actually happen. Given Squirro's trajectory, might be worth a 15 min look. No pressure."
Chris,Methven,https://linkedin.com/in/chrismethven,Chief Executive Officer,CyberCube,https://linkedin.com/company/cybercube-analytics,https://www.cybcube.com,"London, England, United Kingdom",Going from CGO to CEO at CyberCube after the $180M Spectrum Equity round is a rare internal progression. And owning 75% of the top 40 cyber insurers as customers is a wedge most vendors would kill for.,"Chris, saw the CEO announcement at CyberCube. Going from Chief Growth Officer to CEO right after the $180M Spectrum round is a rare internal arc. Clearly earned. Would like to connect.","Chris, appreciate the connect. With CyberCube already serving 75% of the top 40 cyber insurers, where is the next expansion vector? Deeper into brokers, or horizontal into broader enterprise risk? Feels like a fork in the road.","Chris, I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CEOs in a scale phase, and you only pay when the meeting actually shows. Given CyberCube's next chapter, happy to walk you through the model. 15 min work?"
Martin,Wilson,https://linkedin.com/in/martinrwilson,Chief Executive Officer,Dash,https://linkedin.com/company/dash-app,https://www.dash.app,Greater Brighton and Hove Area,Co-founding Asset Bank back in 1999 and still running point on Dash 25 years later is rare. The fact you're working with 20 FTSE 100 brands out of Brighton quietly says a lot.,"Martin, 25 years building DAM out of Brighton, and still working with 20 FTSE 100s. Rare track record in a space most people assume is a race to the bottom. Would like to connect.","Martin, thanks for the connect. How are you thinking about DAM in the era of AI generated assets? Is the volume a tailwind for Dash, or is it forcing a rethink of what managing an asset even means? Feels like the ground is shifting fast.","Martin, I run Path2Ascension. We book qualified meetings with the right buyers for SaaS founders, and you only pay when the meeting actually shows. Given Dash's position, happy to walk you through the model if useful. 15 min?"
John,McCarthy,https://linkedin.com/in/jpmccarthy14,Chief Revenue Officer,Panther,https://linkedin.com/company/runpanther,https://www.panther.com,San Francisco Bay Area,Taking the CRO seat at a detection as code SIEM right as the industry starts cracking under agent driven triage is interesting timing. Panther's angle on Python native detection has real staying power.,"John, saw your move to Panther. Detection as code is one of the few SIEM angles that still makes sense as agents take over triage. Would like to connect and follow the GTM buildout.","John, thanks for connecting. Selling detection as code into security engineering teams feels very different than selling a traditional SIEM to a SOC manager. Which motion is carrying more of the load at Panther right now?","John, quick intro. I run Path2Ascension. We book qualified meetings with the right buyers for SaaS CROs, and you only pay when the meeting actually happens. Could be worth a 15 min look given where Panther's GTM is. No pressure."
